n    Max Error (Equidistant)    Max Error (Chebyshev)
 3   3.223389     1.571903
 4   3.032812     1.210876
 5   1.398693     0.145942
 6   0.399163     0.085989
 7   0.399305     0.032400
 8   0.311625     0.015850
 9   0.193015     0.008785
10   0.108800     0.005054
11   0.065989     0.003151
12   0.041094     0.002367
13   0.027131     0.001920
14   0.018288     0.001771
15   0.012620     0.001718
16   0.008830     0.001750
17   0.006313     0.001844
18   0.004604     0.001998
19   0.003419     0.002218
20   0.002577     0.002517
21   0.001967     0.002913
22   0.001519     0.003433
23   0.001186     0.004113
24   0.000934     0.005005
25   0.000742     0.006175
26   0.000594     0.007720
27   0.000478     0.009768
28   0.000388     0.012498
29   0.000316     0.016160
30   0.000259     0.021098
